#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL6096.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE50521_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 16743
#number of samples: 12
#Factor: Genotype (2 levels): 5xFAD: n=6, WT: n=6
#Factor: OrganismPart (1 levels): Hippocampus: n=12
#Factor: Batch (2 levels): batch_1_09_08_12: n=4, batch_2_10_08_12: n=8
#Factor: Gender (2 levels): F: n=4, M: n=8
#Factor: Timepoint (1 levels): 14-15_months: n=12
#
#
### Model test for factor: Genotype
#p-value: 2.21766760306588e-06; Statistic: 25.7448021215338; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
### Model test for factor: Batch
#p-value: 0.971703961477814; Statistic: 4.9740649591946; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
### Model test for factor: Gender
#p-value: 0.241450059946462; Statistic: 10.9229039087372; Expected: 9.09090909090909; Std.dev: 3.34104135665215; #Cov: 16743
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 16743
#number of samples: 12
### Model test for factor: Genotype
#p-value: 9.63642180561954e-08; Statistic: 29.1789614196051; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
### Model test for factor: Batch
#p-value: 0.999999643303352; Statistic: 1.78211733966325; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
### Model test for factor: Gender
#p-value: 0.143799650218863; Statistic: 12.7595417497692; Expected: 9.09090909090909; Std.dev: 3.69715185914816; #Cov: 16743
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE50521
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE50521/results/GSE50521_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#12 samples, 16743 probes
#coefficients: (Intercept), Genotype5xFAD
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: Genotype5xFAD
#  DE genes: 1336, up: 915, down: 421
#GSE50521_5xFAD: original input has 16743 probesets; mapped probesets: 16355; probes mapped to multiple genes to be removed (except for insulin): 244; genes with multiple probesets are BH corrected. New data has 16000 genes.
GSE50521_5xFAD	GeneSymbols
4.78269616251814e-06	Mlph
5.08823618661466e-06	Nfe2l2
5.10644117131559e-06	Ankrd13a
5.56114210046878e-06	Oasl2
5.67607249629693e-06	Ehd4
5.72189654515112e-06	Aldh1l1
6.04743943473039e-06	Cd44
6.32267402189938e-06	Mobp
6.45395660161154e-06	Nek6
6.54194829702308e-06	Dap
6.72952429386498e-06	Timp1
6.80231704011492e-06	Slc7a7
6.89174342251473e-06	Ptprf
7.20347202655763e-06	Pdpn
7.45889682055056e-06	Entpd2
7.57900603716822e-06	Rfx4
7.95961742374258e-06	Scpep1
8.02672824797336e-06	Lgals9
8.43043910323949e-06	Gna13
8.46590819858862e-06	Cd48
8.68439684555987e-06	Dhcr24
8.81330289467312e-06	Gab2
8.97981916590263e-06	Pld2
9.27809855461553e-06	Eya4
9.34617577955226e-06	P2rx4
9.38196195805722e-06	Ctla2b
9.40247724009841e-06	Adap2
9.48533004167574e-06	Fhl3
9.64578822606469e-06	Anxa5
9.90138038780057e-06	P2ry6
9.95280658778376e-06	Stard4
9.95665402500849e-06	C3
1.00937359927756e-05	Apobec1
1.03090062517653e-05	Sirpa
1.05747335213802e-05	Cyp4f14
1.12446712381107e-05	Glycam1
1.1400272446822e-05	Prcp
1.16438088020025e-05	Ucp2
1.17761547612539e-05	Tlr1
1.17890742025007e-05	Elk3
1.17993009070951e-05	Hmha1
1.19873851588262e-05	Padi2
1.20780539581262e-05	Clu
1.20884212678756e-05	Slc22a4
1.24243035275167e-05	Lpin1
1.27021132600332e-05	Tnfrsf1a
1.31665445322707e-05	Frmd8
1.34832830514324e-05	Rassf2
1.38440343785426e-05	Btk
1.39679507083885e-05	Il4ra
1.40787455050922e-05	Tec
1.44215439628175e-05	Ctse
1.45084406969855e-05	Aif1
1.46036881677559e-05	Elf4
1.47718784465663e-05	Fxyd1
1.48973637497513e-05	Ddah1
1.50417870657068e-05	Sipa1
1.54010594419036e-05	Pdlim4
1.56465887829314e-05	Tagln2
1.59871950049443e-05	Rab3il1
1.62502169662103e-05	Cmtm3
1.65872239630064e-05	Cttnbp2nl
1.68393371898191e-05	Arhgap25
1.69120209013744e-05	AF251705
1.71012358392663e-05	Hgf
1.71523929998447e-05	Kynu
1.80517111134232e-05	Ampd3
1.89350068651232e-05	Pgd
1.90412474604636e-05	Baiap2l2
1.90578118386911e-05	Man2b2
1.91749385860687e-05	Sh3pxd2b
1.98997833316996e-05	Gnai2
2.04692732076057e-05	Cd72
2.05648096311006e-05	Lair1
2.13220420845605e-05	Parp12
2.20071258271532e-05	Zc3hav1
2.22630608448609e-05	Lpcat2
2.23641738539082e-05	Tlr9
2.26926985016528e-05	Rnf213
2.27213158593245e-05	Plau
2.3810122621731e-05	Cd14
2.38881632647168e-05	Lamp1
2.45703312433506e-05	Heatr5a
2.49110747826824e-05	Slc44a1
2.49431893365194e-05	Nsdhl
2.49699046706928e-05	Cd109
2.49881193273424e-05	Tspan4
2.56466681457431e-05	Alox5ap
2.60349786730924e-05	Ddx60
2.62904636968116e-05	Gpr65
2.69153279362173e-05	Abcc3
2.77980087761856e-05	Pde3b
2.85901268724639e-05	Gcnt1
2.88664430734216e-05	Gldn
2.90479194104554e-05	Retsat
2.99007729007496e-05	Hmox1
3.0631841153435e-05	Sdc4
3.13796170773854e-05	Zfp36
3.1576662402063e-05	Vwa5a
3.16695201480853e-05	Parp9
3.34530411799519e-05	Glipr1
3.37911645638468e-05	Fgfrl1
3.46861993881564e-05	Tlr3
3.50142311303099e-05	Slc25a1
3.51179323604369e-05	Ifi30
3.61772861171683e-05	Oas1b
3.6771616757722e-05	BC028528
3.67984889620999e-05	Kcnj10
3.72872926730201e-05	Cmtm6
3.76228771991702e-05	Adgrg1
3.82881660471042e-05	Wasf2
3.90138181081885e-05	Eif2ak2
3.93679403878062e-05	Plod1
3.96401014103421e-05	Erbb2ip
4.00559400612769e-05	Serpine1
4.02570353002441e-05	Fam111a
4.11670502812156e-05	Skap2
4.16284945717506e-05	Acly
4.23178146875941e-05	Ddx58
4.25027248466793e-05	Rxrg
4.2505618508703e-05	Gdpd2
4.25995076318517e-05	Mapkapk2
4.33456920073996e-05	Nol3
4.3470237752488e-05	Bach1
4.35612368525241e-05	Pnpla7
4.41759167829131e-05	Ppap2c
4.49239293295044e-05	Gfpt2
4.53161867908851e-05	Fbxo6
4.53558072796883e-05	Hif1a
4.6596057236786e-05	Myc
4.99694494892842e-05	Dpp7
4.99709365281318e-05	Ms4a6c
5.06638469646734e-05	Lss
5.24536293455397e-05	Adssl1
5.30007037414149e-05	Sox9
5.30702852603043e-05	Bcl3
5.37646850398816e-05	Tgm1
5.47276143241571e-05	Spint1
5.51227688342688e-05	Rps9
5.53116841974926e-05	Vamp8
5.57368957097382e-05	Nlrp3
5.6381487106002e-05	Slc1a4
5.67007382167557e-05	Vkorc1
5.75617086765237e-05	Plcb3
5.76566039006157e-05	D17H6S56E-5
6.02144839305773e-05	Dnase2a
6.0988695196579e-05	Neurl3
6.1317142773506e-05	Daam2
6.20506221393254e-05	Stom
6.25515562970746e-05	Sbno2
6.55595413083322e-05	S100a6
6.70214996607527e-05	Cd200r4
6.73692317781353e-05	Mob3a
6.78316481500835e-05	Tapbp
6.83209155204378e-05	Pilra
6.86386760805148e-05	Ddr1
6.92898407189785e-05	Pmp22
7.42374592873321e-05	Cmtm7
7.48870789496959e-05	Gpx1
7.66652733034075e-05	Naalad2
7.75374201655466e-05	Rsad2
7.80122684663369e-05	Arsa
7.85390546884536e-05	Fam129b
8.20239055425263e-05	AF529169
8.22998902206238e-05	Tor3a
8.48948866613957e-05	Casp1
8.62850623575197e-05	Cyr61
8.77319972393366e-05	Epb4.1l2
9.0625936404674e-05	Mical1
9.14179998481669e-05	Mvk
9.23118034162634e-05	Csk
9.71776929290308e-05	Capn2
9.87018819591504e-05	Lpxn
9.96334711542698e-05	Gba
0.000103058181119109	Frrs1
0.000103677683713302	St8sia6
0.000104455073117685	Cxcl10
0.000104470116072743	Tap1
0.000104742879127664	Slc25a45
0.000105508047128181	Plcd4
0.000105513431345766	S100a1
0.000108365825745029	Hn1l
0.000108423034418584	Haao
0.000111030327725903	Timp2
0.000111556696065582	Ralgds
0.000112266564924893	Ncf4
0.000113703044484805	Pycard
0.00011449272730539	Il6st
0.000115377736208895	Oat
0.000115527141494671	Ch25h
0.000115588229981525	Sirt2
0.000116790876371006	Trp53inp2
0.000117380945149235	Il1rl2
0.00011739198914415	Pla2g15
0.00011804138104666	Nfatc1
0.000119704192869093	Hk2
0.000121136301962292	Sash3
0.000121491722941026	Tmbim1
0.000121677400160508	Myd88
0.000122650121794356	Rnf122
0.000122723923629605	Trim12a
0.00012938094204394	Tpp1
