5xFAD;eIF2+_S51A1	5xFAD;eIF2+_S51A2	5xFAD;eIF2+_S51A3	5xFAD1	5xFAD2	5xFAD3	eIF2+_S51A1	eIF2+_S51A2	eIF2+_S51A3	WT1	WT2	WT3
6748020	6.18306209397607	6.00657902880975	6.03611887482747	5.90486263675557	5.9894987489587	5.87069398931888	6.0413271767176	5.9787405659833	6.2138882669236	6.04695448930706	5.89885019389484	5.97479352785639
6748174	8.89727378006442	8.78168579513426	8.73039088872847	8.65389985397881	8.70052125343776	8.68093445405368	8.72469694632334	8.65475787161308	8.85385890622729	8.90065047653559	8.83124349943809	8.47258647638708
6748191	5.9404725588598	5.84547248030363	6.00887615618061	6.1225888321954	5.77113552662271	5.9449784787899	5.60999985074791	5.61813055687194	6.23067778485366	6.19371470292309	5.89049125789447	5.82201297788752
6748213	10.8158349668396	10.7314361084548	10.7757574640837	10.8828435798315	10.9159381185283	10.7938848097468	10.9123183803042	10.8881236788401	10.7596345917518	10.8590301398578	10.8624829792012	10.881565460674
6748217	11.0471951082976	11.0258219060927	11.0677590238319	11.2192685707791	11.2483383959852	11.158837867158	11.2663394077706	11.2487799192542	11.0736513364302	11.2901240368361	11.3661937093638	11.1555050721852
6748426	4.72348795062535	4.86329181816144	4.94118588545945	4.82164387089033	4.74721900965436	5.05218463858141	4.8499819433295	4.64397876975776	5.28941584511181	5.08425488036633	5.08400501464964	4.74360828630805
6748437	8.17455758876544	8.16868856853867	8.14564129575209	8.32854340943713	8.23730918341654	8.23699498516684	8.45093301745319	8.57784591224798	8.44412016160327	8.22438101040996	8.38509946224559	8.6279302430555
6748501	5.38768401251271	5.47581213313625	5.68319309236816	5.35586356159632	5.16288947678506	5.4772427975963	5.31325930037292	5.45715156113745	5.72994458634449	5.69918332184507	5.5231784369494	5.1750337530787
6748503	8.02284079022088	8.09404675040867	8.07931659035568	7.97865545336134	8.24432778270378	7.91637413327273	8.18523670659461	7.93463238785858	7.95992415222017	7.7136837887618	7.99662290192058	8.0573360269398
6748525	9.06230749073025	9.08168255813467	9.04977611721723	9.23387870153232	9.24644839913915	9.08834688005787	9.13668680578469	9.17002294826013	8.89819968565901	8.88466308239673	9.05108022606871	9.07316446075917
6748534	8.85341808631742	8.87924846027829	8.81126617346617	8.86437863415918	8.80495741140032	8.86707594025422	8.73522101739634	8.80386611404094	8.70039762930429	8.71262814579765	8.74830399183951	8.76198141403054
6748535	6.11491171956045	5.97269985327236	6.17886208967074	6.21353389672667	5.87075757453978	6.04524233029127	5.97314757932145	5.95444203311033	6.32141632977367	6.20876864275726	6.1639066864623	6.0438464194336
6748539	5.21884881157101	5.19104246013948	5.44998631153296	5.2182848097299	4.95960300167401	5.14622790658619	5.10558688854995	5.00546168661769	5.36429747606724	5.3826712183982	5.19930919584129	5.27773831443603
6748545	5.75711201862898	5.84540617566562	5.82035405908715	5.97019572930661	5.53779596581995	5.91197646033657	5.79499479520015	5.79232394681271	5.98660791520599	5.81529527906863	5.89971028245672	5.75552031452727
6748546	7.56342652878691	8.02556363134384	7.64376438861247	7.87543107840223	7.4802840900319	7.85733976098449	7.92178793716328	7.98366383897474	7.8920911554019	7.81081355298699	7.97045342389877	7.99234710868918
6748551	7.84354126581663	8.08501718991305	7.981179134502	8.05630714985209	7.92074125348153	7.77329704195897	7.38714602476991	7.47311348627989	7.47055598051219	7.53747419852232	7.58007852484591	7.42218432901873
6748553	10.0159461577907	10.392542704453	10.0531520990928	10.0990772083715	10.1207789813752	10.1892707325276	10.141208984165	10.1214215905749	10.2352639043054	10.2053537932678	10.1538943593769	10.1122161017438
