# 2018-01-09
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	down_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Ldah	0.00501400612452374	0.0293875435921443	0.170616714146332	-0.0530571398923585	0.0630448614701789	0.864554351023343	0.567722824488329	0.999994336935075	0.994545583773648	4660	6197	0.0290973950015996	1	9.94168137747748	10.5159788344885	10.2309910083831	9.89383368053237	0.00501400612452374	0.00501400612452374	0.00501400612452374	0.00501400612452374	NA	F	random_intercept
Slc39a1	0.00944264817426679	0.0552396639572209	0.17093963825666	-0.0996503488929968	0.118562655726887	0.864279789583562	0.567860105208219	0.999994336935075	0.994625573110749	4659	6198	0.029216637798072	1	9.21592173429891	6.76653032181997	9.5689379581811	8.46186322250426	0.00944264817426679	0.00944264817426679	0.00944264817426679	0.00944264817426679	NA	F	random_intercept
Sik2	0.00894532800644259	0.0521045808027446	0.171680260518887	-0.0939694638569121	0.111855528249081	0.863697189495948	0.568151405252026	0.999994336935075	0.994975263012743	4658	6199	0.0294704939910844	1	6.2012412698505	7.35710531053849	5.10633371888222	6.5333612239194	0.00894532800644259	0.00894532800644259	0.00894532800644259	0.00894532800644259	NA	F	random_intercept
Mink1	0.00668254195143999	0.0388139055943635	0.172168758827775	-0.0699779043252632	0.0833463909881902	0.863312687973837	0.568343656013082	0.999994336935075	0.995061773118714	4657	6200	0.0296386520122063	1	9.05329156613185	7.47210997640518	7.23768669054128	11.0064033812897	0.00668254195143999	0.00668254195143999	0.00668254195143999	0.00668254195143999	NA	F	random_intercept
C530008M17Rik	0.010915296851862	0.0633428816908875	0.172320812702025	-0.115597559540524	0.137724918560964	0.863231751085271	0.568384124457364	0.999994336935075	0.995061773118714	4656	6201	0.0296741117323265	1	11.0259387336376	NA	9.50374843231023	10.4055835361756	0.010915296851862	NA	0.010915296851862	0.010915296851862	NA	F	random_intercept
Akap2	0.00798902952357813	0.0462835926579226	0.172610401759955	-0.0834285830376591	0.0994023233003588	0.862966116117993	0.568516941941003	0.999994336935075	0.995133815174384	4655	6202	0.029790643971225	1	9.85518148358934	8.61348557994551	10.9226028334543	10.2707410109289	0.00798902952357813	0.00798902952357813	0.00798902952357813	0.00798902952357813	NA	F	random_intercept
Tfcp2	0.00916113150037816	0.052948141799247	0.173020831120242	-0.0954030609955244	0.113760889932989	0.862645257642501	0.568677371178749	0.999994336935075	0.99523305245437	4654	6203	0.0299317159948771	1	7.79204202948026	7.12141693104394	5.76035988698751	7.98986740896089	0.00916113150037816	0.00916113150037816	0.00916113150037816	0.00916113150037816	NA	F	random_intercept
Rpl28	0.00481568411130192	0.0278006157640858	0.173222210334026	-0.0500968327340992	0.0597221519147726	0.862486024792389	0.568756987603805	0.999994336935075	0.99523305245437	4653	6204	0.0300018534179571	1	13.4009394691671	13.5559165621426	12.9962137075733	13.8610206561082	0.00481568411130192	0.00481568411130192	0.00481568411130192	0.00481568411130192	NA	F	random_intercept
Arid5b	0.0185497363273266	0.106561881149709	0.174074782907277	-0.192061703861894	0.228972023533728	0.861849304736286	0.569075347631857	0.999994336935075	0.995351549336329	4652	6205	0.030283155071487	1	6.36202824535572	7.26912580951409	8.84359097811468	6.80785533350755	0.0185497363273266	0.0185497363273266	0.0185497363273266	0.0185497363273266	NA	F	random_intercept
Atp1a3	0.00744152779248172	0.0426720914316796	0.174388635354234	-0.0779055744898487	0.0927073811005251	0.861593590936372	0.569203204531814	0.999994336935075	0.995351549336329	4651	6206	0.0303965095558425	1	11.3947946790204	NA	13.7755489027337	14.3248846606595	0.00744152779248172	NA	0.00744152779248172	0.00744152779248172	NA	F	random_intercept
