# 2018-03-29
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	up_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Parp2	-0.00637357507135384	0.027900302887845	-0.228441070943733	-0.061478823275678	0.0487340870989112	0.819322429496482	0.590338785251759	0.999994187184675	0.946427802229951	6175	4704	0.0521741173559178	1	9.20668482156955	10.4313503585199	7.36168385112552	9.02247192989324	-0.00637357507135384	-0.00637357507135384	-0.00637357507135384	-0.00637357507135384	NA	F	random_intercept
Egfl7	-0.00740162382724304	0.0323161007280677	-0.229038270722261	-0.0712368622061659	0.0564208181610038	0.818857624938006	0.590571187530997	0.999994187184675	0.946427802229951	6176	4703	0.0524476537572482	1	8.59376429035619	11.476679621881	10.5360324096519	8.69014129405781	-0.00740162382724304	-0.00740162382724304	-0.00740162382724304	-0.00740162382724304	NA	F	random_intercept
Ppp3cc	-0.00656341486539438	0.0286357708172075	-0.229203359228254	-0.0631265546148978	0.0499921462982269	0.818729015924084	0.590635492037958	0.999994187184675	0.946427802229951	6177	4702	0.0525234728074651	1	6.84985622086027	9.53765285948484	9.26745435407711	6.45447579843659	-0.00656341486539438	-0.00656341486539438	-0.00656341486539438	-0.00656341486539438	NA	F	random_intercept
Ubap1	-0.0054234163262381	0.0236610110219214	-0.229213211608474	-0.052156392287713	0.0413102821163626	0.818722089303311	0.590638955348345	0.999994187184675	0.946427802229951	6178	4701	0.0525275579035593	1	8.66371144197561	9.96627812614669	6.50085062696847	9.126867628409	-0.0054234163262381	-0.0054234163262381	-0.0054234163262381	-0.0054234163262381	NA	F	random_intercept
Eva1b	-0.0117345795821925	0.051070109240307	-0.229773927582105	-0.112612956455534	0.0891274841256996	0.818285824834741	0.59085708758263	0.999994187184675	0.946427802229951	6179	4700	0.05278518948586	1	7.01962283217691	7.61464599709412	9.5857541774068	6.28038783597887	-0.0117345795821925	-0.0117345795821925	-0.0117345795821925	-0.0117345795821925	NA	F	random_intercept
Atxn3	-0.011911556367705	0.0517455362115978	-0.230194858141893	-0.114123025798688	0.0902844044047147	0.817958803623505	0.591020598188247	0.999994187184675	0.946427802229951	6180	4699	0.0529787437040312	1	7.11074664728678	8.49696807738296	6.84575058783392	6.82689795681052	-0.011911556367705	-0.011911556367705	-0.011911556367705	-0.011911556367705	NA	F	random_intercept
Mcts1	-0.00574247928531054	0.0249254655828285	-0.230386038978008	-0.0549616457916905	0.0435282270932068	0.817873491029178	0.591063254485411	0.999994187184675	0.946427802229951	6181	4698	0.0530292990582382	1	12.3217574167162	12.2941872558013	11.8873939190099	11.952845865471	-0.00574247928531054	-0.00574247928531054	-0.00574247928531054	-0.00574247928531054	NA	F	random_intercept
Dbpht2	-0.0206715734180497	0.0896840349288307	-0.230493347388459	-0.197861024025372	0.156433113504431	0.817733145446213	0.591133427276894	0.999994187184675	0.946427802229951	6182	4697	0.053112521627412	1	4.64093753323186	7.60584795666322	6.89534318271248	4.56319219518222	-0.0206715734180497	-0.0206715734180497	-0.0206715734180497	-0.0206715734180497	NA	F	random_intercept
Gm2a	-0.0122340770738935	0.0530397046553272	-0.230658846111519	-0.116973291654079	0.0925625013515368	0.817618609783941	0.59119069510803	0.999994187184675	0.946427802229951	6183	4696	0.0531804902734194	1	11.3312070682725	11.1454148283089	9.35924010219839	10.3394332051966	-0.0122340770738935	-0.0122340770738935	-0.0122340770738935	-0.0122340770738935	NA	F	random_intercept
Uqcrfs1	-0.00952856771035138	0.0412667857538432	-0.230901620668723	-0.0910326494510966	0.0719812706852887	0.817411326482794	0.591294336758603	0.999994187184675	0.946427802229951	6184	4695	0.053303614335185	1	12.3579483323399	6.33004303554975	12.1559758584127	12.34720100175	-0.00952856771035138	-0.00952856771035138	-0.00952856771035138	-0.00952856771035138	NA	F	random_intercept
