# 2018-01-31
#####
# DISEASE: AD
#####
# PHASE: early
# File dir: C:/AD/files_results/AD_mouse_model_project/MGP_estimation//early/2017-01-31
# PHASE: late
# File dir: C:/AD/files_results/AD_mouse_model_project/MGP_estimation//late/2017-01-31
cell_type	geneSymbol	rotation	var_explained	disease	phase	marker_order	WT	Disease	D_WT_rot_diff
Microglia	Irgm2	0.0790593928543114	0.00832	AD	early	29	0.0521371392448485	0.0802940801480267	0.0281569409031782
Microglia	Sipa1	0.0693040046607363	0.00804	AD	early	30	-0.0813546745691076	0.117201909218144	0.198556583787252
Microglia	Lag3	0.156362442152019	0.00781	AD	early	31	0.0489877389033905	0.162757024147526	0.113769285244135
Microglia	Tor4a	0.0987049646764706	0.00733	AD	early	32	0.194500162037834	0.0562716628270147	-0.138228499210819
Microglia	Stat6	0.00663980486053754	0.00689	AD	early	33	0.0467588396412913	-0.00405796609289918	-0.0508168057341905
Microglia	Hk2	0.104123228018225	0.00669	AD	early	34	0.0191340597994561	0.107996435443464	0.0888623756440079
Microglia	S100a11	0.0937028841372597	0.00644	AD	early	35	0.129697630134339	0.0680023539416433	-0.0616952761926957
Microglia	Spi1	0.0674220038187128	0.00604	AD	early	36	-0.0325461002851857	0.0926558731216739	0.12520197340686
Microglia	Ctsh	0.117771210836981	0.00569	AD	early	37	0.11607898554174	0.114803897022211	-0.001275088519529
Microglia	Ctsz	0.122110915417591	0.00558	AD	early	38	0.183747938830932	0.102825491328746	-0.080922447502186
Microglia	Slc7a7	0.0291400172103239	0.00537	AD	early	39	0.0870545439392129	0.0142182414079963	-0.0728363025312166
Microglia	Tyrobp	0.165850646899198	0.00517	AD	early	40	0.145448643176212	0.157368768297887	0.011920125121675
Microglia	Fcgr1	0.123229346367173	0.00503	AD	early	41	0.0824388660470696	0.108767248991523	0.0263283829444534
Microglia	Rgs19	-0.000528647316520721	0.00488	AD	early	42	-0.106856666883	0.0575877711365233	0.164444438019523
Microglia	Msn	0.0473290604728733	0.00463	AD	early	43	0.0173021619926292	0.0192343281633544	0.0019321661707252
Microglia	Stab1	0.0550495496172251	0.0046	AD	early	44	-0.00536458160274204	0.0978305516009084	0.10319513320365
Microglia	Il6ra	0.0585499323329967	0.00442	AD	early	45	0.0479917782075325	-0.013215175207718	-0.0612069534152505
Microglia	Cyba	0.185442869132053	0.00422	AD	early	46	0.0845476073712463	0.190699894740148	0.106152287368902
Microglia	Akna	0.119234015530025	0.004	AD	early	47	0.127835031497122	0.0868775191692597	-0.0409575123278623
Microglia	Ehd4	-0.0582161014058438	0.00386	AD	early	48	0.0243305749828944	-0.0892958096882977	-0.113626384671192
Microglia	Ebi3	0.0888341494634422	0.00368	AD	early	49	-0.0878066120514841	0.13142156375306	0.219228175804544
Microglia	Lgals9	0.114949234791065	0.0036	AD	early	50	0.105018843686719	0.0944232222119745	-0.0105956214747445
Microglia	Il13ra1	0.0458707583332414	0.0034	AD	early	51	0.0900663525286785	-0.00685872155598948	-0.096925074084668
Microglia	Fermt3	0.154178978161897	0.00317	AD	early	52	0.0703172426033666	0.145606274966738	0.0752890323633714
Microglia	Havcr2	0.140956551971531	0.00305	AD	early	53	0.0241976076043	0.127518787343387	0.103321179739087
Microglia	Rbm39	-0.0204614209450899	0.0029	AD	early	54	0.0351962909044119	-0.0161573133631007	-0.0513536042675126
Microglia	Gmip	-0.0185276883212498	0.00279	AD	early	55	-0.0833680512604472	0.0173658395768084	0.100733890837256
Microglia	Tgfb1	0.0996850726188687	0.00262	AD	early	56	-0.0610204295554201	0.123746548846091	0.184766978401511
Microglia	Ggta1	0.0189901160617564	0.00252	AD	early	57	0.108514881588536	-0.000694866122976103	-0.109209747711512
Microglia	Anxa3	0.127332164216828	0.00246	AD	early	58	0.0916108309332544	0.107560067119168	0.0159492361859136
Microglia	Ly96	0.141453149498041	0.00237	AD	early	59	0.151646840770506	0.138894190154712	-0.012752650615794
Microglia	Irf5	0.146531430614654	0.00229	AD	early	60	0.0432435056163604	0.141726556077805	0.0984830504614446
Microglia	C1qc	0.184837613767007	0.00215	AD	early	61	0.0924092235472173	0.191728491572324	0.0993192680251067
Microglia	Tapbp	0.0289053615043232	0.0021	AD	early	62	-0.0965248702030942	0.069997734609529	0.166522604812623
Microglia	D15Ertd621e	-0.0715009848142149	0.00189	AD	early	63	0.067602139068369	-0.0852334067393316	-0.152835545807701
Microglia	Cd68	0.10416132638424	0.00179	AD	early	64	-0.0312178393938826	0.129033015044237	0.16025085443812
Microglia	Tmc6	0.0916515454605587	0.00175	AD	early	65	0.0888791123570395	0.0526076101807322	-0.0362715021763073
Microglia	Plcg2	0.181279965351331	0.00172	AD	early	66	0.0607569522562498	0.173349658295904	0.112592706039654
Microglia	Hmha1	0.101167867799761	0.00163	AD	early	67	0.018364313370851	0.102774180011203	0.084409866640352
Microglia	Nrros	0.0993365007056699	0.00158	AD	early	68	-0.0551141009421418	0.134679252620846	0.189793353562988
Microglia	Ccrl2	0.00841196633707753	0.00148	AD	early	69	0.0237538813476046	0.00996789640925739	-0.0137859849383472
Microglia	Rassf5	-0.105883780645714	0.00141	AD	early	70	-0.142044467741473	-0.1149275490261	0.027116918715373
Microglia	Gmfg	0.145281628615693	0.00133	AD	early	71	0.0926874914490096	0.15788451556555	0.0651970241165404
Microglia	Tm6sf1	-0.0947113211978272	0.00125	AD	early	72	-0.124923698017368	-0.0822375815273689	0.0426861164899991
Microglia	Rnase4	0.125341614023609	0.0012	AD	early	73	0.180932808366694	0.0991686460680623	-0.0817641622986317
Microglia	B2m	0.145896696196738	0.00114	AD	early	74	0.189384374128699	0.125209982454281	-0.064174391674418
Microglia	Casp8	0.154823535472233	0.00104	AD	early	75	0.182525337161539	0.123591323933491	-0.058934013228048
Microglia	Rcsd1	0.0404542369965224	0.001	AD	early	76	0.0280633662068454	0.0335375440786998	0.0054741778718544
Microglia	Pik3cd	-0.0118986686517491	0.00093	AD	early	77	-0.0980990831655532	0.0222249115910513	0.120323994756605
Microglia	Gcnt1	0.145571712012237	9e-04	AD	early	78	0.110985453075749	0.117257082144652	0.006271629068903
Microglia	Tbxas1	0.122023202613752	8e-04	AD	early	79	-0.0733925430499086	0.159710953083354	0.233103496133263
Microglia	Phyhd1	0.0504153218075461	0.00079	AD	early	80	0.0529369395528491	0.0554542744098967	0.0025173348570476
Microglia	Alox5ap	0.197474863970448	0.00074	AD	early	81	0.0900663988484624	0.195148504023006	0.105082105174544
Microglia	Dnajb1	-0.0862196324048986	0.00067	AD	early	82	-0.0995295667022744	-0.0858216913446796	0.0137078753575948
Microglia	Fes	0.107702216724758	0.00062	AD	early	83	-0.00810895074419567	0.111814091581744	0.11992304232594
Microglia	Tgfbr2	0.06818048700702	6e-04	AD	early	84	0.180874545788224	0.0266522064209483	-0.154222339367276
Microglia	Fyb	0.0558121343444662	0.00051	AD	early	85	0.0904066267831714	0.0253878060890717	-0.0650188206940997
Microglia	Pald1	0.106891355054906	5e-04	AD	early	86	0.0236449228754478	0.0856908426893076	0.0620459198138598
Microglia	Mlxipl	0.11427519158354	0.00041	AD	early	87	0.00449167549563866	0.137774578305031	0.133282902809392
Microglia	Nckap1l	0.137738337456329	0.00041	AD	early	88	-0.0361941520259634	0.15617818403825	0.192372336064213
Microglia	Slc11a1	0.160132195747319	0.00038	AD	early	89	0.137613097343767	0.152934583309432	0.015321485965665
Microglia	Myh9	0.0400329565270393	0.00034	AD	early	90	0.0995448888607029	0.0416273851771005	-0.0579175036836024
Microglia	Arrb2	0.0773321380874745	0.00031	AD	early	91	-0.0253550376768504	0.0715816445660091	0.0969366822428595
Microglia	Pdgfb	0.017255472854529	0.00029	AD	early	92	-0.0508440719262847	0.0406566291729414	0.0915007010992261
Microglia	Srsf7	-0.0802594713604301	0.00025	AD	early	93	-0.0340428139168237	-0.0888416245584904	-0.0547988106416667
Microglia	Sash3	0.107932600501767	0.00024	AD	early	94	0.0443467912016135	0.141601446014677	0.0972546548130635
Microglia	Ifngr1	0.0798063920490019	2e-04	AD	early	95	-0.00149351989790354	0.0987228254612111	0.100216345359115
Microglia	Trpv2	-0.0261667657752177	0.00019	AD	early	96	-0.158900235976798	0.017938441256301	0.176838677233099
Microglia	Pros1	0.0947643521194127	0.00015	AD	early	97	0.156993707695988	0.0604105813214604	-0.0965831263745276
Microglia	Ppp1r15a	0.020691785174235	0.00014	AD	early	98	-0.0564670026463262	0.0474537714229867	0.103920774069313
Microglia	Herpud1	-0.052703288566559	0.00013	AD	early	99	-0.0519268381692557	-0.0675982540208166	-0.0156714158515609
Microglia	Sh3glb1	-0.0124073684397412	0.00011	AD	early	100	0.0537430576427171	-0.0309771092627594	-0.0847201669054765
Microglia	Skap2	0.136100174057119	1e-04	AD	early	101	0.115868283612317	0.0990573317871444	-0.0168109518251726
Microglia	Cttnbp2nl	0.0238978365520361	9e-05	AD	early	102	-0.00552496367001906	0.0125599734247686	0.0180849370947877
Microglia	Gusb	0.0809399865608688	7e-05	AD	early	103	0.0720159258981119	0.0703957093808004	-0.00162021651731149
Microglia	Pla2g15	-0.0176800516159787	5e-05	AD	early	104	-0.153826039701182	0.0463059482194461	0.200131987920628
Microglia	Zfp90	0.0372485709416879	4e-05	AD	early	105	-0.0459445544956811	0.0328435147581021	0.0787880692537832
Microglia	Serinc3	-0.0981392979758072	2e-05	AD	early	106	-0.139073871518788	-0.0906177631210534	0.0484561083977346
Oligo	Ptgds	0.0297798994245268	0.43608	AD	early	1	0.0343273466561896	0.0318664941408235	-0.0024608525153661
Oligo	Trim59	0.136118078357416	0.09458	AD	early	2	0.152618587694961	0.131757493185881	-0.02086109450908
Oligo	Lpar1	0.15603244252958	0.06597	AD	early	3	0.17397679680095	0.14768541666039	-0.02629138014056
Oligo	Mal	0.186828265129138	0.05196	AD	early	4	0.197347128500745	0.179736075730128	-0.017611052770617
Oligo	Elovl7	0.0961971612325567	0.04935	AD	early	5	0.118929048976337	0.0933249130461986	-0.0256041359301384
Oligo	Ddc	0.136258355839562	0.03575	AD	early	6	0.107453328470047	0.138390207803671	0.030936879333624
Oligo	Gsn	0.130208873394304	0.02685	AD	early	7	0.0802293288367547	0.147893220172733	0.0676638913359783
Oligo	Mobp	0.199801671233162	0.0245	AD	early	8	0.1946005716408	0.195409066352668	0.000808494711868002
Oligo	Slain1	0.109041812968116	0.02209	AD	early	9	0.143586404285361	0.0930202072082881	-0.0505661970770729
Oligo	Fa2h	0.201346723489599	0.02002	AD	early	10	0.219113206489991	0.192968090086857	-0.026145116403134
Oligo	Tmem98	0.139119517414726	0.01677	AD	early	11	0.15072170061757	0.13800812153452	-0.01271357908305
Oligo	Ppp1r14a	0.17866810056758	0.01593	AD	early	12	0.211203195043697	0.16719100663601	-0.044012188407687
Oligo	Apod	0.131669760245548	0.01415	AD	early	13	0.13031838702249	0.138744179165276	0.00842579214278602
Oligo	Mog	0.202068900725584	0.01298	AD	early	14	0.222918593754865	0.194652400675891	-0.028266193078974
Oligo	Olig2	0.104031083580895	0.0121	AD	early	15	0.00155776840115341	0.132755998745984	0.131198230344831
Oligo	Hapln2	0.148783744638646	0.01184	AD	early	16	0.10134884932492	0.165835172891095	0.064486323566175
Oligo	Anln	0.139013019892969	0.01002	AD	early	17	0.131485860231687	0.136321134079873	0.00483527384818599
Oligo	Tspan2	0.195823512789959	0.00805	AD	early	18	0.215086831478573	0.18597845799531	-0.029108373483263
Oligo	Pdlim2	0.188641497995784	0.0074	AD	early	19	0.219298959265877	0.180552319714495	-0.038746639551382
Oligo	Cldn11	0.187067325180166	0.00643	AD	early	20	0.202403361425858	0.186443781841528	-0.01595957958433
Oligo	Ugt8a	0.195086292370799	0.00614	AD	early	21	0.187077001791026	0.193244553934173	0.00616755214314701
Oligo	Chn2	0.13096351131466	0.00596	AD	early	22	0.0670293597833158	0.14825760808442	0.0812282483011042
Oligo	Mag	0.21766970234954	0.00486	AD	early	23	0.233861082917887	0.208338032945571	-0.025523049972316
Oligo	Gjb1	0.0750996556352926	0.00466	AD	early	24	0.0848493361005106	0.0740121044062653	-0.0108372316942453
Oligo	Plekhf1	0.11081057171587	0.00412	AD	early	25	0.0917142602826214	0.121593270011892	0.0298790097292706
Oligo	Nkx2-2	0.123836836008859	0.00376	AD	early	26	0.067152667421079	0.13772319828483	0.070570530863751
Oligo	Tppp3	0.170961875129952	0.00344	AD	early	27	0.169578058596132	0.170724506313257	0.00114644771712499
Oligo	Gamt	0.0938316965580321	0.00334	AD	early	28	0.107249589621215	0.0937612354036276	-0.0134883542175874
Oligo	Adssl1	0.161869958751959	0.00286	AD	early	29	0.14197000129789	0.168721988429337	0.026751987131447
Oligo	S1pr5	0.185510956347363	0.00247	AD	early	30	0.18210237181851	0.181509879710086	-0.000592492108423992
Oligo	Phldb1	0.189571469015715	0.00219	AD	early	31	0.196710755358026	0.183446595843687	-0.013264159514339
Oligo	Slc44a1	0.208566777144549	0.00198	AD	early	32	0.211263574752468	0.20183338955552	-0.00943018519694799
Oligo	Sgk2	0.167710524870455	0.00189	AD	early	33	0.181925385112304	0.161080047914941	-0.020845337197363
Oligo	Pllp	0.186337216754664	0.00165	AD	early	34	0.200041425456418	0.181509998373424	-0.018531427082994
Oligo	Gltp	0.183137555927399	0.00159	AD	early	35	0.176751033957323	0.17807588110285	0.001324847145527
Oligo	Josd2	0.143631847620528	0.00143	AD	early	36	0.140927507739028	0.144098849344562	0.00317134160553398
Oligo	Gal3st1	0.175983969733643	0.00121	AD	early	37	0.152186006213719	0.178655350609031	0.026469344395312
Oligo	Kazn	0.0852316731445537	0.0011	AD	early	38	0.0686024173055939	0.0943189727932987	0.0257165554877048
Oligo	Ctsk	0.115875309339126	0.00093	AD	early	39	0.106722146419941	0.122291743582976	0.015569597163035
Oligo	Ick	0.123920984567084	0.00083	AD	early	40	0.0347953011358173	0.157478472084513	0.122683170948696
Oligo	Lims2	0.12484277368247	0.00075	AD	early	41	0.12214827414006	0.127548654157386	0.005400380017326
Pyramidal_Thy1	Slc17a6	-0.138040947945505	0.31725	AD	early	1	0.151738834772079	-0.193370428367294	-0.345109263139373
Pyramidal_Thy1	Dcn	0.228690032180174	0.17403	AD	early	2	0.289588800442848	0.195480258725047	-0.094108541717801
Pyramidal_Thy1	Grp	0.281257722197812	0.09536	AD	early	3	0.321498307931277	0.257168342912616	-0.064329965018661
Pyramidal_Thy1	Nts	-0.000729503202413107	0.08659	AD	early	4	0.212835721132665	-0.0613134649153259	-0.274149186047991
Pyramidal_Thy1	Rspo2	0.353587198162664	0.06092	AD	early	5	0.381375941866078	0.340487490625106	-0.040888451240972
Pyramidal_Thy1	Fezf2	0.360338249206326	0.05293	AD	early	6	0.282995475783252	0.346842111655678	0.063846635872426
Pyramidal_Thy1	Nr4a2	0.352470833102513	0.04036	AD	early	7	0.342429364726834	0.328719325901945	-0.013710038824889
