# 2018-01-09
# ../files_results/AD_mouse_model_project//mixed_model_jackknife/random_intercept_include_NA_low_exp_rm//early//run1/
geneSymbol	up_pval	down_pval	up_padj	down_padj	up_rank	down_rank	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	chisq	chi_df	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Cmtm6	0.658436676650407	0.341563323349593	0.999996143185094	0.931719490486814	6881	3976	-0.0133659379355154	0.0327311598088782	-0.408355158007263	NA	NA	0.683126646699187	0.166627464055168	1	9.11851858020427	9.31464340658861	7.59283694405005	-0.0133659379355154	-0.0133659379355154	-0.0133659379355154	NA	NA	random_intercept
Cmtm7	0.74118298430393	0.25881701569607	0.999996143185094	0.914099554812124	7784	3073	-0.0213052875695045	0.0328981140596853	-0.647614253232007	NA	NA	0.51763403139214	0.418604825489346	1	7.76935902247888	6.39606648735002	5.950546020104	-0.0213052875695045	-0.0213052875695045	-0.0213052875695045	NA	NA	random_intercept
Cmtm8	0.505639201819883	0.494360798180117	0.999996143185094	0.980741720601862	5389	5468	-0.000833216737964327	0.0589434730628178	-0.0141358609302907	NA	NA	0.988721596360234	0.000199822353906143	1	7.71920898029468	7.78635074341234	5.99905187336404	-0.000833216737964327	-0.000833216737964327	-0.000833216737964327	NA	NA	random_intercept
Cmtr1	0.114001908464383	0.885998091535617	0.887448661014685	0.999999991885596	1389	9468	0.02675386465331	0.0221196525093434	1.20950655269151	NA	NA	0.228003816928766	1.45327100212421	1	11.7673129427516	10.5123932225073	9.74802679081305	0.02675386465331	0.02675386465331	0.02675386465331	NA	NA	random_intercept
Cmtr2	0.186171634956063	0.813828365043937	0.929345821435106	0.999999991885596	2174	8683	0.0254530722654433	0.0284803117023599	0.893707643773231	NA	NA	0.372343269912126	0.79582931031814	1	9.42056220767507	7.94050008702035	5.67211360014193	0.0254530722654433	0.0254530722654433	0.0254530722654433	NA	NA	random_intercept
Cmya5	0.0328808386611201	0.96711916133888	0.736845388059373	0.999999991885596	482	10375	0.0978640128608753	0.051940172120282	1.88416805077665	NA	NA	0.0657616773222403	3.38576444026333	1	NA	6.0046449307155	6.0046449307155	NA	0.0978640128608753	0.0978640128608753	NA	NA	random_intercept
Cndp2	0.347671905216994	0.652328094783006	0.989646672794156	0.999999991885596	3810	7047	0.0176559451180567	0.0450693649572981	0.391750474735671	NA	NA	0.695343810433989	0.153361134535068	1	6.95050642260336	9.15635252185195	10.0319978527845	0.0176559451180567	0.0176559451180567	0.0176559451180567	NA	NA	random_intercept
Cnep1r1	0.826581325896306	0.173418674103694	0.999996143185094	0.883657535084154	8731	2126	-0.0421582714574712	0.0445225748912971	-0.94689652519877	NA	NA	0.346837348207389	0.884994562837427	1	NA	10.0343739914541	10.6972026395976	NA	-0.0421582714574712	-0.0421582714574712	NA	NA	random_intercept
Cnga1	0.939483074348499	0.0605169256515013	0.999996143185094	0.762563151662433	9998	859	-0.0672880428191163	0.043161943665738	-1.55896693022492	NA	NA	0.121033851303003	2.40389124979851	1	6.9059142372323	4.88154242831819	4.86021943951004	-0.0672880428191163	-0.0672880428191163	-0.0672880428191163	NA	NA	random_intercept
Cnga4	0.509922196334064	0.490077803665936	0.999996143185094	0.979765347210362	5429	5428	-0.0012390650820984	0.049813926902958	-0.0248738687980213	NA	NA	0.980155607331873	0.000618707049456546	1	6.93324872852174	NA	5.0919879057609	-0.0012390650820984	NA	-0.0012390650820984	NA	NA	random_intercept
Cngb1	0.914881154392809	0.0851188456071914	0.999996143185094	0.79387582678574	9694	1163	-0.0583510753732818	0.0423651861024098	-1.37733551393423	NA	NA	0.170237691214383	1.8808489428622	1	6.46334897311654	5.47187115974704	6.15166670860395	-0.0583510753732818	-0.0583510753732818	-0.0583510753732818	NA	NA	random_intercept
Cnih1	0.222027007750317	0.777972992249683	0.952892346532597	0.999999991885596	2525	8332	0.0371611794344944	0.0484887524623095	0.76638761666182	NA	NA	0.444054015500634	0.58578413048329	1	9.45759049102868	11.9202522952855	11.4745640793289	0.0371611794344944	0.0371611794344944	0.0371611794344944	NA	NA	random_intercept
Cnih2	0.787282270885259	0.212717729114741	0.999996143185094	0.903714369346289	8312	2545	-0.0513129358703083	0.0642876295040529	-0.798177445119101	NA	NA	0.425435458229482	0.635251743383648	1	9.06737313690372	14.3195238670513	13.5216509897362	-0.0513129358703083	-0.0513129358703083	-0.0513129358703083	NA	NA	random_intercept
Cnih3	0.744523678907315	0.255476321092685	0.999996143185094	0.910877019079116	7819	3038	-0.0405517151167918	0.0616283257962669	-0.658004490513811	NA	NA	0.51095264218537	0.432115671918027	1	9.97249370385808	9.24500693347697	8.51971296938395	-0.0405517151167918	-0.0405517151167918	-0.0405517151167918	NA	NA	random_intercept
Cnih4	0.759446707226507	0.240553292773493	0.999996143185094	0.907984054919592	7986	2871	-0.0298606063499733	0.0423362205050828	-0.705320550434782	NA	NA	0.481106585546987	0.49635389397594	1	9.82924381193144	10.1196749417723	9.10122684734921	-0.0298606063499733	-0.0298606063499733	-0.0298606063499733	NA	NA	random_intercept
Cnksr2	0.857250859800995	0.142749140199005	0.999996143185094	0.862956003047344	9064	1793	-0.0995336068842816	0.0929502098198346	-1.07082713505658	NA	NA	0.28549828039801	1.14072927682145	1	9.37008539771276	7.47642115778512	9.93590657809392	-0.0995336068842816	-0.0995336068842816	-0.0995336068842816	NA	NA	random_intercept
Cnksr3	0.337931088856638	0.662068911143362	0.985622732826383	0.999999991885596	3719	7138	0.0251176448865633	0.0600493005798631	0.418283720942892	NA	NA	0.675862177713275	0.174821137675806	1	6.16973092230236	7.43633499445176	6.63348043861849	0.0251176448865633	0.0251176448865633	0.0251176448865633	NA	NA	random_intercept
Cnn2	0.12900468895826	0.870995311041741	0.888311189556214	0.999999991885596	1570	9287	0.0589988356890091	0.0520090193302588	1.13439623451396	NA	NA	0.258009377916519	1.27940670328856	1	6.68648290561961	6.35847908934616	6.73212649230045	0.0589988356890091	0.0589988356890091	0.0589988356890091	NA	NA	random_intercept
Cnn3	0.933669742823773	0.0663302571762267	0.999996143185094	0.771394549997305	9926	931	-0.0584313400986788	0.038659241708257	-1.51144558239482	NA	NA	0.132660514352453	2.2610916820267	1	9.8164571883476	11.1078595037515	12.0113803194466	-0.0584313400986788	-0.0584313400986788	-0.0584313400986788	NA	NA	random_intercept
Cnnm1	0.470402141864107	0.529597858135893	0.999996143185094	0.986072915031411	5029	5828	0.00523086111753781	0.0704398348601128	0.0742599855312812	NA	NA	0.940804283728214	0.00551440215136267	1	9.13616618703048	11.8453733894534	10.8534602607291	0.00523086111753781	0.00523086111753781	0.00523086111753781	NA	NA	random_intercept
Cnnm2	0.504489333007297	0.495510666992703	0.999996143185094	0.980741720601862	5374	5483	-0.0003085612283485	0.0274195481520215	-0.0112533301656815	NA	NA	0.991021333985406	0.000126637358690118	1	10.4561176219253	7.50067424418018	8.56054264950711	-0.0003085612283485	-0.0003085612283485	-0.0003085612283485	NA	NA	random_intercept
Cnnm3	0.893399257473045	0.106600742526955	0.999996143185094	0.828885820034316	9463	1394	-0.0543568074731279	0.0435132453238049	-1.24920141140084	NA	NA	0.21320148505391	1.54955271054678	1	6.9499093173914	7.05560306466784	8.1142482869172	-0.0543568074731279	-0.0543568074731279	-0.0543568074731279	NA	NA	random_intercept
Cnot1	0.853772592436508	0.146227407563492	0.999996143185094	0.864714472300413	9022	1835	-0.0507656744264422	0.0478294587280856	-1.06138927298026	NA	NA	0.292454815126984	1.10828610396862	1	NA	9.40769603525954	10.3580240173159	NA	-0.0507656744264422	-0.0507656744264422	NA	NA	random_intercept
Cnot10	0.29334147501412	0.70665852498588	0.979797600696378	0.999999991885596	3243	7614	0.016754612775813	0.0307981717877656	0.544013225566483	NA	NA	0.586682950028241	0.29555436772695	1	9.95494633310405	8.75818241466154	9.40723193874852	0.016754612775813	0.016754612775813	0.016754612775813	NA	NA	random_intercept
Cnot11	0.88208209827153	0.11791790172847	0.999996143185094	0.846334799889541	9345	1512	-0.0549836658614721	0.0462336234281731	-1.18925712034863	NA	NA	0.235835803456939	1.4053143164724	1	8.31567404398066	6.88429723210787	9.07003165869444	-0.0549836658614721	-0.0549836658614721	-0.0549836658614721	NA	NA	random_intercept
Cnot2	0.829673163376357	0.170326836623643	0.999996143185094	0.883657535084154	8766	2091	-0.0285372488586856	0.0298866696012377	-0.954848741577541	NA	NA	0.340653673247287	0.907969768794942	1	11.1748988429411	10.3017150449023	10.0515758846386	-0.0285372488586856	-0.0285372488586856	-0.0285372488586856	NA	NA	random_intercept
Cnot3	0.117767792336783	0.882232207663217	0.887448661014685	0.999999991885596	1439	9418	0.0415201913703006	0.0348902670759319	1.19002217093781	NA	NA	0.235535584673566	1.40711695871665	1	9.61854827708595	6.86872185674976	10.0699336605758	0.0415201913703006	0.0415201913703006	0.0415201913703006	NA	NA	random_intercept
Cnot4	0.276169582825181	0.723830417174819	0.971899883080098	0.999999991885596	3083	7774	0.0328579505783456	0.0552484250196737	0.594730991275226	NA	NA	0.552339165650362	0.353143280834757	1	9.73400505009793	9.26253362101859	9.04971561981233	0.0328579505783456	0.0328579505783456	0.0328579505783456	NA	NA	random_intercept
Cnot6l	0.916594582740429	0.0834054172595707	0.999996143185094	0.793570120759728	9717	1140	-0.0755029932632422	0.0543755871260359	-1.38854580251677	NA	NA	0.166810834519141	1.91137289924637	1	7.27210251193373	9.38920265947476	10.6786745049051	-0.0755029932632422	-0.0755029932632422	-0.0755029932632422	NA	NA	random_intercept
Cnot7	0.573878719002099	0.426121280997901	0.999996143185094	0.96112019481897	6047	4810	-0.00589746503719638	0.0316604070850021	-0.186272558699666	NA	NA	0.852242561995802	0.034691985661695	1	11.244693318582	7.63917761041467	11.4479604201847	-0.00589746503719638	-0.00589746503719638	-0.00589746503719638	NA	NA	random_intercept
